INR,Project Name,Interconnecting Entity,Point of Interconnection (POI),Voltage (kV),County,CDR Reporting Zone,Projected COD,Technology,Capacity (MW),Screening Study Started,Screening Study Complete,FIS Requested,FIS Approved,IA Signed,GIM Study Phase,NTP,Construction Start,Construction End
19INR0103,Rodeo Solar,"Core Solar Spv I, Llc",Nelson Switch,138,Andrews,WEST,05/01/2026,PV,200,06/29/2017,08/04/2017,02/19/2018,,08/20/2019,"SS Completed, FIS Started, IA",Yes,,
19INR0110,Azalea Springs Solar ,Edp Renewables,Jim English – Lufkin Chipper Mill,138,Angelina,NORTH,05/31/2025,PV,181,07/26/2017,09/15/2017,03/15/2018,04/30/2024,09/14/2023,"SS Completed, FIS Completed, IA",Yes,,
22INR0559,Honeycomb Solar,"Honeycomb Solar, Llc",Tynan,69,Bee,SOUTH,12/01/2025,PV,61.43,11/16/2021,01/17/2022,11/02/2021,,05/01/2023,"SS Completed, FIS Started, IA",Yes,,
25INR0060,Argenta Solar,"Charter Oak Solar, Llc",Tango - Goddard,345,Bee,SOUTH,07/01/2026,PV,325,06/27/2022,09/21/2022,07/14/2022,,04/05/2024,"SS Completed, FIS Started, IA",Yes,,
24INR0166,Stillhouse Solar,Stillhouse Solar Llc,Bell County East – Little Pond,345,Bell,NORTH,06/01/2025,PV,212.55,11/24/2021,02/19/2022,11/23/2021,,06/07/2023,"SS Completed, FIS Started, IA",Yes,,
23INR0249,Limewood Solar ,Limewood Bell Renewables Llc,Temple Pecan Creek ,138,Bell,NORTH,12/31/2025,PV,204.6,04/30/2021,07/22/2021,10/06/2021,,02/22/2023,"SS Completed, FIS Started, IA",Yes,,
23INR0344,Xe Hermes Solar,Bell Solar 1 Llc,Bell County East -  TNP One,345,Bell,NORTH,08/25/2025,PV,100.36,09/21/2021,12/09/2021,06/01/2022,04/19/2024,11/08/2023,"SS Completed, FIS Completed, IA",Yes,,
20INR0035,Angus Solar,"Angus Solar, Llc",Bosque - Cayote,138,Bosque,NORTH,04/01/2026,PV,112,11/13/2017,01/02/2018,11/13/2017,04/03/2023,12/06/2021,"SS Completed, FIS Completed, IA",Yes,,
23INR0150,Cradle Solar,Cradle Solar Llc,Dow - Oasis,345,Brazoria,COASTAL,12/31/2025,PV,200.85,02/04/2021,04/21/2021,03/15/2021,06/14/2022,03/15/2023,"SS Completed, FIS Completed, IA",Yes,,
26INR0042,Valhalla Solar,Industrial Papa Project Llc,Copper - Booster,138,Brazoria,COASTAL,05/31/2026,PV,306.8,03/09/2023,06/05/2023,03/08/2023,03/19/2024,12/06/2023,"SS Completed, FIS Completed, IA",Yes,,
20INR0248,Damazo (Second Division) Solar,Tx Gulf Solar 1 Llc,Sanber - West Colombia,138,Brazoria,COASTAL,12/16/2024,PV,100.2,03/28/2019,06/18/2019,07/29/2019,10/28/2022,10/14/2020,"SS Completed, FIS Completed, IA",Yes,,
23INR0091,Cascade Solar,"Cascade Solar Energy, Llc",Oasis – Seabreeze,345,Brazoria,COASTAL,01/16/2026,PV,254.2,02/09/2021,05/06/2021,04/28/2021,03/02/2023,04/17/2023,"SS Completed, FIS Completed, IA",Yes,,
19INR0042,Long Point Solar,"Long Point Solar, Llc",Burke - Eagle Nest,138,Brazoria,COASTAL,12/31/2025,PV,120,03/15/2017,04/20/2017,11/13/2017,,10/24/2019,"SS Completed, FIS Started, IA",Yes,10/15/2024,10/30/2025
23INR0054,Tanglewood Solar,"Brazoria Solar, Llc",Seabreeze,345,Brazoria,COASTAL,01/16/2025,PV,250.96,07/10/2020,09/28/2020,11/24/2020,06/03/2024,11/01/2022,"SS Completed, FIS Completed, IA",Yes,,
22INR0261,Dorado Solar,"Enbridge Solar (Eldorado), Llc",Reata ,345,Callahan,WEST,12/31/2025,PV,401.35,01/09/2020,03/30/2020,08/27/2020,,06/19/2023,"SS Completed, FIS Started, IA",Yes,,
25INR0282,Hornet Solar Ii Slf,Hornet Solar Ii Llc,Ozark Trail,345,Castro,PANHANDLE,06/01/2026,PV,208.95,01/03/2023,03/29/2023,12/20/2022,07/02/2024,08/21/2024,"SS Completed, FIS Completed, IA",Yes,,
16INR0049,Nazareth Solar,"Tx Nazareth Solar, Llc",Tule Canyon - Ogallala,345,Castro,PANHANDLE,12/31/2025,PV,204,06/19/2014,07/25/2014,07/01/2014,04/17/2023,06/07/2023,"SS Completed, FIS Completed, IA",Yes,,
20INR0091,Fagus Solar Park 1 Slf,"Excel Advantage Services, Llc Dba Misae Solar Park Ii",Tesla,345,Childress,PANHANDLE,05/15/2025,PV,166.42,05/15/2018,07/06/2018,05/15/2018,02/27/2024,02/21/2019,"SS Completed, FIS Completed, IA",Yes,,
21INR0253,Ulysses Solar,Bnb Tennyson Solar Llc,Red Creek - Bluff Creek,345,Coke,WEST,02/23/2026,PV,150,01/25/2019,04/05/2019,05/10/2019,,10/03/2022,"SS Completed, FIS Started, IA",Yes,,
23INR0296,Trojan Solar Slf,"Nextera Energy Resources Interconnection Holdings, Llc",Cedar Elm,345,Cooke,NORTH,02/28/2026,PV,0,07/01/2021,09/22/2021,06/30/2021,,10/10/2022,"SS Completed, FIS Started, IA",Yes,,
22INR0455,Blue Sky Sol,Blue Sky Solar Llc,Friends Ranch ,138,Crockett,WEST,02/15/2025,PV,101.2,12/03/2020,02/16/2021,11/10/2020,07/05/2023,02/01/2022,"SS Completed, FIS Completed, IA",Yes,,
22INR0454,Dr Solar,"Delaware Ranch Solar, Llc",Delaware River,138,Culberson,WEST,12/15/2025,PV,36,12/22/2020,03/10/2021,12/17/2020,,02/07/2022,"SS Completed, FIS Started, IA",Yes,,
20INR0255,Renegade Project,Renegade Renewable Llc,Windmill – AJ Swope,345,Deaf Smith,PANHANDLE,12/18/2025,PV,515.66,02/26/2019,05/17/2019,02/07/2019,,01/04/2021,"SS Completed, FIS Started, IA",Yes,,
23INR0056,Caliche Mound Solar ,Tierra Blanco Solar Llc,AJ Swope - Windmill,345,Deaf Smith,PANHANDLE,08/28/2025,PV,408.21,07/24/2020,09/08/2020,07/07/2020,08/22/2023,10/12/2023,"SS Completed, FIS Completed, IA",Yes,,
22INR0251,Shaula I Solar,"Shaula Energy Project, Llc",Elm Creek - South Texas,345,DeWitt,SOUTH,10/30/2025,PV,205.2,12/03/2019,03/08/2020,11/20/2019,,02/16/2022,"SS Completed, FIS Started, IA",Yes,,
22INR0267,Shaula Ii Solar,"Shaula Energy Project Ii, Llc",Elm Creek - South Texas,345,DeWitt,SOUTH,05/30/2026,PV,205.2,12/18/2019,03/12/2020,12/18/2019,,04/27/2022,"SS Completed, FIS Started, IA",Yes,,
