,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
0,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1075177,megawatthours
1,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1075177,megawatthours
2,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1073798,megawatthours
3,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1075177,megawatthours
4,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1075177,megawatthours
5,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1071608,megawatthours
6,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1071427,megawatthours
7,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1070880,megawatthours
8,2024-11-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1070880,megawatthours
9,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1068551,megawatthours
10,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1067233,megawatthours
11,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1066837,megawatthours
12,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1068551,megawatthours
13,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1069450,megawatthours
14,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1093304,megawatthours
15,2024-11-15,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1093729,megawatthours
