,period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
0,2023,AK,Alaska,EU,Electric Utilities,NGCC,Natural Gas - CC,374.6,megawatts
1,2023,AK,Alaska,EU,Electric Utilities,NGGT,Natural Gas - GT,687.6,megawatts
2,2023,AK,Alaska,EU,Electric Utilities,NGIC,Natural Gas - IC,174.4,megawatts
3,2023,AK,Alaska,EU,Electric Utilities,OT,Other,2.9,megawatts
4,2023,AK,Alaska,EU,Electric Utilities,PET,Petroleum,706.4,megawatts
5,2023,AK,Alaska,EU,Electric Utilities,PETGT,Petroleum - GT,237,megawatts
6,2023,AK,Alaska,EU,Electric Utilities,PETIC,Petroleum - IC,418.4,megawatts
7,2023,AK,Alaska,EU,Electric Utilities,PETOTH,Petroleum - OTH,51,megawatts
8,2023,AK,Alaska,EU,Electric Utilities,SOL,Solar,1.7,megawatts
9,2023,AK,Alaska,EU,Electric Utilities,SOLPV,Solar - PV,1.7,megawatts
10,2023,AK,Alaska,EU,Electric Utilities,WND,Wind,39.1,megawatts
11,2023,AK,Alaska,IPP,Independent Power Producers,ALL,All,214.5,megawatts
12,2023,AK,Alaska,IPP,Independent Power Producers,COL,Coal,70.8,megawatts
13,2023,AK,Alaska,IPP,Independent Power Producers,HYC,Hydroelectric,45.2,megawatts
14,2023,AK,Alaska,IPP,Independent Power Producers,NG,Natural Gas,20.9,megawatts
15,2023,AK,Alaska,IPP,Independent Power Producers,NGGT,Natural Gas - GT,20.9,megawatts
16,2023,AK,Alaska,IPP,Independent Power Producers,OBM,Other Biomass,7,megawatts
17,2023,AK,Alaska,IPP,Independent Power Producers,PET,Petroleum,44.7,megawatts
18,2023,AK,Alaska,IPP,Independent Power Producers,PETIC,Petroleum - IC,44.7,megawatts
19,2023,AK,Alaska,IPP,Independent Power Producers,SOL,Solar,6,megawatts
20,2023,AK,Alaska,IPP,Independent Power Producers,SOLPV,Solar - PV,6,megawatts
21,2023,AK,Alaska,IPP,Independent Power Producers,WND,Wind,19.9,megawatts
22,2023,AK,Alaska,TOT,All sectors,ALL,All,2821,megawatts
23,2023,AK,Alaska,TOT,All sectors,BAT,Battery,91.7,megawatts
24,2023,AK,Alaska,TOT,All sectors,COL,Coal,167.9,megawatts
25,2023,AK,Alaska,TOT,All sectors,HYC,Hydroelectric,476.2,megawatts
26,2023,AK,Alaska,TOT,All sectors,NG,Natural Gas,1257.5,megawatts
27,2023,AK,Alaska,TOT,All sectors,NGCC,Natural Gas - CC,374.6,megawatts
